timestamp,unix_time,commit,branch,benchmark,mean_ns,stddev_ns,throughput_mibs
2025-11-23 13:56:55,1763924215,c9c1cd0,main,small_500kb,9234996,87465,51.63
2025-11-23 13:56:55,1763924215,c9c1cd0,main,medium_1mb,18382604,132484,51.88
2025-11-23 13:56:55,1763924215,c9c1cd0,main,large_5mb,92602500,2038350,51.49
2025-11-24 00:46:23,1763945183,e1e33fc,main,small_500kb,11410391,139167,41.79
2025-11-24 00:46:23,1763945183,e1e33fc,main,medium_1mb,22869414,221125,41.70
2025-11-24 00:46:23,1763945183,e1e33fc,main,large_5mb,115149326,1005271,41.41
2025-11-24 00:54:50,1763945690,7a4b1b2,main,small_500kb,14824403,87206,32.17
2025-11-24 00:54:50,1763945690,7a4b1b2,main,medium_1mb,29615121,101972,32.20
2025-11-24 00:54:50,1763945690,7a4b1b2,main,large_5mb,147406780,1459302,32.35
2025-11-24 01:01:27,1763946087,9849e47,main,small_500kb,14800645,246505,32.22
2025-11-24 01:01:27,1763946087,9849e47,main,medium_1mb,29483389,147101,32.35
2025-11-24 01:01:27,1763946087,9849e47,main,large_5mb,147092032,1831137,32.42
2025-11-24 01:03:18,1763946198,ff84c51,main,small_500kb,14889385,337749,32.03
2025-11-24 01:03:18,1763946198,ff84c51,main,medium_1mb,29648203,73620,32.17
2025-11-24 01:03:18,1763946198,ff84c51,main,large_5mb,147823389,2092377,32.26
2025-11-24 01:05:42,1763946342,566a37a,main,small_500kb,14830646,64971,32.15
2025-11-24 01:05:42,1763946342,566a37a,main,medium_1mb,29555140,119813,32.27
2025-11-24 01:05:42,1763946342,566a37a,main,large_5mb,147375856,1202029,32.36
2025-11-24 01:08:46,1763946526,0da1cd8,main,small_500kb,14825915,136524,32.16
2025-11-24 01:08:46,1763946526,0da1cd8,main,medium_1mb,29521439,573508,32.30
2025-11-24 01:08:46,1763946526,0da1cd8,main,large_5mb,147449349,836436,32.34
